"","location","start","end","enrolled","cap","day"
"1338","SAGE 3205","1600","1750",10,19,4
"1339","SAGE 3303","0800","0950",208,300,4
"1340","SAGE 3303","1000","1150",285,296,4
"1341","SAGE 3303","1200","1350",214,300,4
"1342","SAGE 3303","1400","1550",143,260,4
"1343","SAGE 3303","1600","1750",245,300,4
"1344","SAGE 3303","1800","1950",109,108,4
"1345","SAGE 3510","0800","0950",86,138,4
"1346","SAGE 3510","1000","1150",118,125,4
"1347","SAGE 3510","1200","1320",85,160,4
"1348","SAGE 3510","1400","1550",98,100,4
"1349","SAGE 3510","1800","1950",113,108,4
"1350","SAGE 3704","1000","1150",22,24,4
"1351","SAGE 3704","1200","1350",42,40,4
"1352","SAGE 3704","1400","1550",42,70,4
"1353","SAGE 3705","1000","1150",19,19,4
"1354","SAGE 3713","1000","1150",64,80,4
"1355","SAGE 3713","1200","1250",36,49,4
"1356","SAGE 3713","1400","1550",15,19,4
"1357","SAGE 3713","1600","1750",18,38,4
"1358","SAGE 4101","0800","0950",79,80,4
"1359","SAGE 4101","1000","1150",118,140,4
"1360","SAGE 4101","1200","1350",48,48,4
"1361","SAGE 4101","1400","1550",49,140,4
"1362","SAGE 4101","1600","1720",33,80,4
"1363","SAGE 4112","1000","1150",18,19,4
"1364","SAGE 4112","1200","1350",26,24,4
"1365","SAGE 4112","1400","1550",46,60,4
"1366","SAGE 4112","1600","1750",31,58,4
"1367","SAGE 4203","1000","1150",20,38,4
"1368","SAGE 4203","1200","1350",9,10,4
"1369","SAGE 4203","1400","1550",11,19,4
"1370","SAGE 4203","1600","1750",20,38,4
"1371","SAGE 4203","1800","2050",4,20,4
"1372","SAGE 4304","1000","1150",6,38,4
"1373","SAGE 4304","1400","1650",5,19,4
"1374","SAGE 4510","1000","1150",28,30,4
"1375","SAGE 4510","1200","1350",32,49,4
"1376","SAGE 4510","1400","1550",34,35,4
"1377","SAGE 4510","1600","1750",15,28,4
"1378","SAGE 4711","1000","1150",11,22,4
"1379","SAGE 4711","1400","1520",18,19,4
"1380","SAGE 4711","1600","1720",19,19,4
"1381","SAGE 5101","0800","0950",16,60,4
"1382","SAGE 5101","1000","1150",60,60,4
"1383","SAGE 5101","1200","1350",69,79,4
"1384","SAGE 5101","1400","1550",70,70,4
"1385","SAGE 5510","0800","0950",29,38,4
"1386","SAGE 5510","1000","1150",32,50,4
"1387","SAGE 5510","1200","1350",79,80,4
"1388","SAGE 5510","1400","1550",27,50,4
"1389","SAGE 5510","1600","1720",36,65,4
"1390","SAGE 5711","0900","1150",15,19,4
"1391","SAGE 5711","1400","1550",25,24,4
"1392","TROY 2012","0800","0950",38,40,4
"1393","TROY 2012","1000","1150",69,70,4
"1394","TROY 2012","1200","1320",171,204,4
"1395","TROY 2012","1400","1520",147,204,4
"1396","TROY 2012","1600","1720",10,35,4
"1397","TROY 2015","1000","1150",19,60,4
"1398","TROY 2015","1200","1320",20,60,4
"1399","TROY 2015","1400","1550",60,60,4
"1400","TROY 2018","1000","1150",64,68,4
"1401","TROY 2018","1200","1320",40,195,4
"1402","TROY 2018","1400","1450",42,57,4
"1403","TROY 2018","1500","1550",42,57,4
"1404","TROY 2018","1600","1750",64,68,4
"1405","VORHES NO","1000","1150",27,32,4
"1406","VORHES NO","1200","1320",35,35,4
"1407","VORHES SO","1000","1150",72,60,4
"1408","VORHES SO","1200","1250",49,49,4
"1409","VORHES SO","1400","1550",18,38,4
"1410","WALKER 3109","1400","1650",12,16,4
"1411","WALKER 3214","0800","1050",8,20,4
"1412","WALKER 3214","1400","1750",21,21,4
"1413","WALKER 5113","0800","1050",29,60,4
"1414","WALKER 5113","1100","1350",62,64,4
"1415","WALKER 5113","1400","1650",58,60,4
"1416","WALKER 5113","1700","1950",55,60,4
"1417","WALKER 6113","0800","0950",13,50,4
"1418","WALKER 6113","1000","1150",42,60,4
"1419","WALKER 6113","1200","1350",39,60,4
"1420","WALKER 6113","1400","1550",38,60,4
"1421","WALKER 6113","1600","1750",53,50,4
"1422","WALKER 6113","1800","1950",38,50,4
"1423","WEST 110","1900","2030",18,40,4
"1424","WEST 112","1000","1150",38,38,4
"1425","WEST 112","1200","1350",40,38,4
"1426","WEST 112","1400","1550",30,38,4
"1427","WEST 113","1200","1350",16,19,4
"1428","WEST 113","1400","1550",11,19,4
"1429","WEST 113","1600","1750",12,19,4
"1430","WEST 118","1000","1150",19,19,4
"1431","WEST 118","1200","1350",8,15,4
"1432","WEST 118","1400","1550",5,19,4
"1433","WEST 211","1200","1350",6,5,4
"1434","WEST 211","1400","1550",5,5,4
"1435","WEST 211","1600","1750",16,19,4
"1436","WEST 214","1200","1350",18,19,4
"1437","WEST 214","1400","1550",21,19,4
"1438","WEST 214","1600","1750",28,30,4
"1439","WEST 214","1800","1950",9,16,4
"1440","WEST 323","1000","1150",31,40,4
"1441","WEST 326","0800","0950",19,19,4
"1442","WEST 326","1000","1150",18,19,4
"1443","WEST 326","1200","1350",38,38,4
"1444","WEST 326","1400","1550",5,30,4
"1445","WEST 326","1600","1750",46,75,4
"1446","WEST 411","1200","1350",12,19,4
"1447","WEST 411","1400","1550",19,19,4
"1448","WEST AUD","1000","1120",238,240,4
"1449","WEST AUD","1200","1320",52,60,4
"1450","WEST AUD","1400","1550",158,200,4
"1451","WEST AUD","1600","1750",10,7,4
"1452","WEST AUD","1900","2050",7,6,4
"1453","ACADMY AUD","0800","0950",74,80,5
"1454","ACADMY AUD","1000","1150",93,110,5
"1455","ACADMY AUD","1200","1320",210,240,5
"1456","ACADMY AUD","1400","1550",50,130,5
"1457","ARMORY 209","1000","1150",16,30,5
"1458","ARMORY 302","0800","0950",14,25,5
"1459","CARNEG 101","1000","1150",27,55,5
"1460","CARNEG 101","1200","1350",17,60,5
"1461","CARNEG 101","1400","1550",28,35,5
"1462","CARNEG 102","0900","0950",39,40,5
"1463","CARNEG 106","0830","0950",14,35,5
"1464","CARNEG 106","1000","1150",34,38,5
"1465","CARNEG 106","1200","1350",24,35,5
"1466","CARNEG 106","1400","1550",18,30,5
"1467","CARNEG 113","0800","0950",173,190,5
"1468","CARNEG 113","1000","1150",185,183,5
"1469","CARNEG 113","1200","1350",97,100,5
"1470","CARNEG 113","1400","1550",43,70,5
"1471","CARNEG 201","0800","0950",16,30,5
"1472","CARNEG 201","1000","1150",4,20,5
"1473","CARNEG 201","1200","1350",28,49,5
"1474","CARNEG 201","1400","1550",56,90,5
"1475","CARNEG 205","1200","1350",19,16,5
"1476","CARNEG 206","0800","0850",70,70,5
"1477","CARNEG 206","0900","0950",68,70,5
"1478","CARNEG 206","1000","1150",18,19,5
"1479","CARNEG 206","1200","1320",7,30,5
"1480","CARNEG 206","1400","1550",46,45,5
"1481","CARNEG 208","1400","1550",14,30,5
"1482","CARNEG 210","1000","1120",14,25,5
"1483","CARNEG 210","1200","1350",16,33,5
"1484","CARNEG 210","1400","1450",58,60,5
"1485","CARNEG 210","1500","1550",38,60,5
"1486","DARRIN 232","0800","0850",56,60,5
"1487","DARRIN 232","0900","0950",56,60,5
"1488","DARRIN 232","1000","1150",24,19,5
"1489","DARRIN 232","1200","1350",30,30,5
"1490","DARRIN 232","1400","1550",10,25,5
"1491","DARRIN 235","1000","1150",11,30,5
"1492","DARRIN 235","1200","1250",54,60,5
"1493","DARRIN 235","1300","1350",58,60,5
"1494","DARRIN 235","1400","1550",22,30,5
"1495","DARRIN 236","1000","1150",25,35,5
"1496","DARRIN 236","1200","1350",22,40,5
"1497","DARRIN 236","1400","1550",20,28,5
"1498","DARRIN 239","1000","1150",23,30,5
"1499","DARRIN 239","1200","1350",29,35,5
"1500","DARRIN 239","1400","1550",18,19,5
"1501","DARRIN 308","0800","0920",187,270,5
"1502","DARRIN 308","1000","1120",235,274,5
"1503","DARRIN 308","1200","1320",215,244,5
"1504","DARRIN 308","1400","1550",280,360,5
"1505","DARRIN 318","0800","0950",120,192,5
"1506","DARRIN 318","1000","1150",194,200,5
"1507","DARRIN 318","1200","1350",78,80,5
"1508","DARRIN 318","1400","1520",366,420,5
"1509","DARRIN 324","0830","0950",114,165,5
"1510","DARRIN 324","1000","1120",100,120,5
"1511","DARRIN 324","1200","1320",207,240,5
"1512","DARRIN 330","0830","0950",258,280,5
"1513","DARRIN 330","1000","1150",137,150,5
"1514","DARRIN 330","1200","1330",61,85,5
"1515","DARRIN 330","1400","1550",72,100,5
"1516","DARRIN 337","0800","0950",40,60,5
"1517","DARRIN 337","1000","1150",90,140,5
"1518","DARRIN 337","1200","1320",66,60,5
"1519","DARRIN 337","1400","1520",66,60,5
"1520","DNASN 130","1000","1150",18,19,5
"1521","DNASN 130","1200","1350",17,19,5
"1522","DNASN 130","1400","1650",16,19,5
"1523","EATON 214","0800","0950",38,60,5
"1524","EATON 214","1000","1120",244,240,5
"1525","EATON 214","1200","1320",381,360,5
"1526","EATON 214","1400","1520",244,264,5
"1527","EATON 215","0800","0850",60,60,5
"1528","EATON 215","0900","0950",60,60,5
"1529","EATON 215","1100","1150",12,16,5
"1530","EATON 215","1200","1250",31,40,5
"1531","EATON 215","1400","1550",46,60,5
"1532","EATON 216","0800","0850",46,60,5
"1533","EATON 216","0900","0950",56,60,5
"1534","EATON 216","1200","1350",29,30,5
"1535","EATON 216","1400","1550",27,30,5
"1536","GREENE","1300","1550",11,11,5
"1537","GREENE 120","1000","1150",52,60,5
"1538","GREENE 120","1200","1320",54,60,5
"1539","GREENE 204","1300","1550",11,11,5
"1540","GURLEY","1000","1150",10,20,5
"1541","GURLEY","1230","1530",9,20,5
"1542","J-ROWL 1W01","1000","1150",13,20,5
"1543","J-ROWL 1W01","1200","1350",14,30,5
"1544","J-ROWL 1W01","1400","1520",14,30,5
"1545","J-ROWL 2C06","1000","1150",47,48,5
"1546","J-ROWL 2C06","1200","1350",47,48,5
"1547","J-ROWL 2C06","1400","1550",45,48,5
"1548","J-ROWL 2C13","1000","1150",15,35,5
"1549","J-ROWL 2C13","1400","1550",24,32,5
"1550","J-ROWL 2C13","1600","1720",10,20,5
"1551","J-ROWL 2C14","1000","1150",23,48,5
"1552","J-ROWL 2C14","1400","1550",12,48,5
"1553","J-ROWL 2C22","1000","1150",40,48,5
"1554","J-ROWL 2C22","1200","1350",45,48,5
"1555","J-ROWL 2C25","0800","0950",16,30,5
"1556","J-ROWL 2C25","1000","1150",23,30,5
"1557","J-ROWL 2C25","1200","1450",19,40,5
"1558","J-ROWL 2C30","1000","1150",45,48,5
"1559","J-ROWL 2C30","1200","1350",47,48,5
"1560","J-ROWL 2C30","1400","1550",45,48,5
"1561","J-ROWL 3W12","1200","1450",8,10,5
"1562","J-ROWL 3W13","1000","1150",28,30,5
"1563","J-ROWL 3W13","1200","1350",10,24,5
"1564","JONSSN 1010","1200","1450",26,56,5
"1565","JONSSN 3207","0800","0950",50,60,5
"1566","JONSSN 3207","1000","1150",30,56,5
"1567","JONSSN 3207","1200","1320",10,30,5
"1568","JONSSN 3207","1400","1550",20,25,5
"1569","JONSSN 3210","0800","0950",40,50,5
"1570","JONSSN 3210","1000","1150",26,56,5
"1571","JONSSN 3210","1200","1350",16,50,5
"1572","JONSSN 3210","1400","1550",43,50,5
"1573","JONSSN 3232","1400","1550",50,112,5
"1574","JONSSN 4104","1000","1120",17,30,5
"1575","JONSSN 4104","1230","1350",30,42,5
"1576","JONSSN 4104","1400","1520",21,34,5
"1577","JONSSN 4107","1230","1350",18,40,5
"1578","JONSSN 4107","1400","1520",5,36,5
"1579","JONSSN 4201","1000","1250",53,68,5
"1580","JONSSN 4201","1300","1550",59,70,5
"1581","JONSSN 4304","1000","1150",13,36,5
"1582","JONSSN 4304","1200","1320",11,30,5
"1583","JONSSN 4309","1200","1350",56,56,5
"1584","JONSSN 5119","1300","1550",10,45,5
"1585","JONSSN 6309","1000","1120",29,30,5
"1586","JONSSN 6309","1230","1350",29,56,5
"1587","JONSSN 6309","1400","1520",25,34,5
"1588","JONSSN 6314","1000","1150",6,16,5
"1589","LALLY 02","0800","0850",90,90,5
"1590","LALLY 02","0900","0950",87,90,5
"1591","LALLY 02","1000","1150",21,30,5
"1592","LALLY 02","1200","1350",10,80,5
"1593","LALLY 02","1400","1550",33,60,5
"1594","LALLY 102","1000","1150",54,58,5
"1595","LALLY 102","1200","1350",56,55,5
"1596","LALLY 104","1000","1150",44,45,5
"1597","LALLY 104","1200","1350",25,50,5
"1598","LALLY 104","1400","1550",31,30,5
"1599","LOW 3039","0830","0950",28,30,5
"1600","LOW 3039","1000","1150",39,80,5
"1601","LOW 3039","1200","1350",32,70,5
"1602","LOW 3039","1400","1450",38,40,5
"1603","LOW 3045","0800","0850",70,70,5
"1604","LOW 3045","0900","0950",68,70,5
"1605","LOW 3045","1000","1150",7,19,5
"1606","LOW 3045","1200","1350",45,116,5
"1607","LOW 3045","1400","1520",37,40,5
"1608","LOW 3051","0800","0950",42,49,5
"1609","LOW 3051","1000","1150",57,60,5
"1610","LOW 3051","1200","1350",66,70,5
"1611","LOW 3051","1400","1520",37,120,5
"1612","LOW 3112","0800","0850",81,90,5
"1613","LOW 3112","0900","0950",87,90,5
"1614","LOW 3112","1200","1320",6,20,5
"1615","LOW 3116","1000","1120",4,20,5
"1616","LOW 3116","1200","1350",23,30,5
"1617","LOW 3116","1400","1520",7,30,5
"1618","LOW 3130","1000","1150",64,64,5
"1619","LOW 3130","1200","1250",58,60,5
"1620","LOW 3130","1300","1350",52,60,5
"1621","LOW 4034","0800","0850",96,96,5
"1622","LOW 4034","0900","0950",96,96,5
"1623","LOW 4034","1000","1150",32,60,5
"1624","LOW 4040","1200","1350",12,40,5
"1625","LOW 4040","1400","1550",26,33,5
"1626","LOW 4050","1000","1150",98,98,5
"1627","LOW 4050","1200","1350",30,85,5
"1628","LOW 5118","0900","1150",18,22,5
"1629","MATLS 136","1000","1120",8,28,5
"1630","MATLS 136","1200","1350",20,28,5
"1631","MATLS 334","1400","1550",10,30,5
"1632","PITTS 4114","0900","1150",20,40,5
"1633","PITTS 4114","1200","1450",10,45,5
"1634","PITTS 4206","1000","1150",50,50,5
"1635","PITTS 4206","1200","1350",68,70,5
"1636","PITTS 4206","1400","1550",35,45,5
"1637","PITTS 5114","1000","1150",26,35,5
"1638","PITTS 5114","1200","1350",32,35,5
"1639","PITTS 5216","0800","0950",48,60,5
"1640","PITTS 5216","1000","1150",50,80,5
"1641","PITTS 5216","1200","1350",24,34,5
"1642","RCKTTS 203","0830","0950",26,50,5
"1643","RCKTTS 203","1000","1120",372,360,5
"1644","RCKTTS 203","1200","1350",53,60,5
"1645","RCKTTS 203","1400","1550",218,266,5
"1646","RCKTTS 206","1000","1150",10,25,5
"1647","RCKTTS 208","0800","0950",19,19,5
"1648","RCKTTS 208","1000","1150",19,19,5
"1649","RCKTTS 208","1200","1250",38,40,5
"1650","RCKTTS 208","1300","1350",38,40,5
"1651","RCKTTS 208","1500","1550",40,40,5
"1652","RCKTTS 211","0830","0950",105,180,5
"1653","RCKTTS 211","1000","1150",136,150,5
"1654","RCKTTS 211","1200","1350",144,150,5
"1655","RCKTTS 211","1400","1550",67,70,5
"1656","RCKTTS 212","1200","1350",9,30,5
"1657","RCKTTS 212","1400","1550",30,30,5
"1658","SAGE 2112","1000","1150",23,28,5
"1659","SAGE 2112","1200","1350",19,19,5
"1660","SAGE 2112","1400","1550",21,60,5
"1661","SAGE 2112","1600","1750",112,120,5
"1662","SAGE 2211","0900","1150",17,18,5
"1663","SAGE 2211","1200","1350",50,56,5
"1664","SAGE 2211","1400","1550",50,56,5
"1665","SAGE 2411","1000","1150",11,19,5
"1666","SAGE 2411","1200","1350",18,19,5
"1667","SAGE 2411","1400","1550",19,19,5
"1668","SAGE 2510","0800","0950",10,19,5
"1669","SAGE 2510","1000","1150",22,19,5
"1670","SAGE 2510","1400","1550",17,19,5
"1671","SAGE 2701","0800","0950",11,19,5
"1672","SAGE 2701","1200","1350",18,38,5
"1673","SAGE 2704","1000","1150",30,30,5
"1674","SAGE 2704","1200","1350",17,19,5
"1675","SAGE 2704","1400","1550",11,28,5
"1676","SAGE 2707","1000","1150",16,19,5
"1677","SAGE 2707","1200","1350",18,38,5
"1678","SAGE 2707","1400","1550",3,3,5
"1679","SAGE 2707","1600","1750",108,120,5
"1680","SAGE 2715","1000","1050",58,60,5
"1681","SAGE 2715","1100","1150",60,60,5
"1682","SAGE 2715","1300","1550",11,11,5
"1683","SAGE 2715","1600","1750",120,120,5
"1684","SAGE 3101","1000","1120",45,60,5
"1685","SAGE 3101","1200","1350",98,102,5
"1686","SAGE 3101","1400","1550",90,100,5
"1687","SAGE 3205","1200","1350",15,19,5
"1688","SAGE 3205","1400","1550",5,19,5
"1689","SAGE 3205","1600","1750",9,19,5
"1690","SAGE 3303","0830","0950",99,300,5
"1691","SAGE 3303","1000","1050",206,240,5
"1692","SAGE 3303","1200","1350",224,236,5
"1693","SAGE 3303","1400","1550",297,314,5
"1694","SAGE 3510","0800","0950",70,140,5
"1695","SAGE 3510","1030","1150",133,123,5
"1696","SAGE 3510","1200","1250",192,240,5
"1697","SAGE 3510","1300","1350",105,150,5
"1698","SAGE 3510","1400","1550",165,160,5
"1699","SAGE 3704","1200","1320",96,105,5
"1700","SAGE 3704","1600","1750",100,120,5
"1701","SAGE 3705","0900","1150",25,36,5
"1702","SAGE 3705","1400","1550",20,19,5
"1703","SAGE 3705","1600","1750",116,120,5
"1704","SAGE 3713","1000","1150",26,70,5
"1705","SAGE 3713","1200","1350",44,70,5
"1706","SAGE 3713","1400","1750",7,35,5
"1707","SAGE 4101","1000","1120",72,75,5
"1708","SAGE 4101","1200","1320",54,60,5
"1709","SAGE 4101","1400","1550",48,60,5
"1710","SAGE 4112","1000","1150",70,70,5
"1711","SAGE 4112","1200","1350",28,27,5
"1712","SAGE 4112","1600","1750",112,120,5
"1713","SAGE 4203","0800","0950",32,38,5
"1714","SAGE 4203","1400","1550",20,18,5
"1715","SAGE 4203","1600","1750",76,120,5
"1716","SAGE 4304","1000","1150",8,19,5
"1717","SAGE 4510","0830","0950",30,36,5
"1718","SAGE 4510","1000","1120",46,49,5
"1719","SAGE 4510","1200","1350",37,50,5
"1720","SAGE 4510","1400","1550",12,30,5
"1721","SAGE 4510","1600","1750",52,120,5
"1722","SAGE 4711","1000","1150",12,19,5
"1723","SAGE 4711","1200","1350",19,19,5
"1724","SAGE 4711","1600","1750",19,19,5
"1725","SAGE 5101","0800","0950",54,90,5
"1726","SAGE 5101","1000","1130",67,90,5
"1727","SAGE 5101","1200","1320",67,85,5
"1728","SAGE 5101","1400","1550",67,73,5
"1729","SAGE 5510","0800","0950",52,60,5
"1730","SAGE 5510","1000","1150",45,50,5
"1731","SAGE 5510","1200","1350",96,130,5
"1732","SAGE 5510","1400","1550",36,40,5
"1733","SAGE 5711","1000","1150",36,38,5
"1734","SAGE 5711","1200","1350",18,19,5
"1735","SAGE 5711","1400","1550",24,25,5
"1736","TROY 2012","0800","0950",11,60,5
"1737","TROY 2012","1000","1150",64,70,5
"1738","TROY 2012","1200","1350",38,60,5
"1739","TROY 2012","1400","1520",132,180,5
"1740","TROY 2015","1000","1150",3,3,5
"1741","TROY 2015","1200","1350",34,35,5
"1742","TROY 2015","1400","1550",5,20,5
"1743","TROY 2018","1000","1150",35,49,5
"1744","TROY 2018","1200","1350",4,5,5
"1745","VORHES NO","1000","1120",8,10,5
"1746","VORHES NO","1200","1350",7,38,5
"1747","VORHES NO","1400","1550",20,110,5
"1748","VORHES SO","0800","0850",60,60,5
"1749","VORHES SO","0900","0950",60,60,5
"1750","VORHES SO","1000","1150",23,40,5
"1751","VORHES SO","1200","1350",19,19,5
"1752","VORHES SO","1400","1550",60,60,5
"1753","WALKER 3214","0800","1050",18,20,5
"1754","WALKER 3214","1300","1550",16,20,5
"1755","WALKER 5113","0800","1050",45,60,5
"1756","WALKER 5113","1100","1350",20,60,5
"1757","WALKER 5113","1400","1650",54,60,5
"1758","WALKER 6113","1000","1050",41,48,5
"1759","WALKER 6113","1200","1350",60,65,5
"1760","WEST 112","1000","1150",11,38,5
"1761","WEST 112","1400","1550",7,19,5
"1762","WEST 211","1000","1150",57,57,5
"1763","WEST 211","1200","1350",22,19,5
"1764","WEST 214","0800","0950",14,19,5
"1765","WEST 214","1000","1150",54,57,5
"1766","WEST 214","1200","1350",16,19,5
"1767","WEST 214","1400","1550",12,19,5
"1768","WEST 323","1000","1150",10,19,5
"1769","WEST 323","1200","1350",18,19,5
"1770","WEST 326","0800","0950",17,19,5
"1771","WEST 326","1000","1150",6,19,5
"1772","WEST 326","1200","1350",21,19,5
"1773","WEST 411","1000","1150",15,19,5
"1774","WEST 411","1200","1350",20,19,5
"1775","WEST AUD","1000","1120",218,240,5
"1776","WEST AUD","1200","1320",324,360,5
"1777","WEST AUD","1400","1550",52,50,5
